ID,Date,HOUSING,NGDP,PGDP,UNEMPLOY,INPROD,RGDP,RCON,RINV,RINVRES,RFEDGOV,RGSL,RCBI,CPI,PCON,EMPLOY
167,1989:Q3,1348.666667,5273.2,61.656,5.233333333,142.1333333,4158.1,2691.2,518,187,335.9,469.9,30.2,124.7,130.4065,108898
168,1989:Q4,1338.666667,5337,62.077,5.3,141.9,4168.1,2689.3,514,186,333.6,474.2,32.6,125.9333333,131.9116,109418.3333
169,1990:Q1,1474.333333,5441.2,62.753,5.266666667,130.5,4195.8,2710.1,520.2,188.1,335.2,480.9,-2.2,128.0666667,134.2829,110136.6667
170,1990:Q2,1209.666667,5451.6,63.455,5.3,109.4,4163.2,2675.2,506.5,181.6,345,475.2,26.2,129.4,135.2983,110612
171,1990:Q3,1136.666667,5514.4,64.004,5.6,110.1333333,4173.6,2702.7,517.6,175.3,345.6,477.2,7.8,131.6333333,136.9223,110642.3333
172,1990:Q4,1052.333333,5518.9,64.493,5.9,108.0666667,4147.6,2675.8,513.2,165.9,351.1,481.4,-16.3,133.8666667,139.3266,110252.3333
173,1991:Q1,913.3333333,5562.3,65.12,6.5,105.8333333,4123.9,2664.1,499.6,151.2,346.8,480.7,-20.7,134.9,140.4264,109562.6667
174,1991:Q2,993,5620.5,65.589,6.833333333,105.9333333,4128.4,2687.2,493.9,153.2,353.8,480.1,-21.2,135.6666667,141.359,108916
175,1991:Q3,1056,5670.8,66.092,6.766666667,107.9666667,4143.1,2705.3,506.5,159.7,340.8,478.7,-1.3,136.7333333,142.0101,108873.6667
176,1991:Q4,1088.333333,5736.6,66.476,6.933333333,107.9333333,4866.3,3262.2,506.9,181,370.2,551.7,2.7,137.8333333,120.6057,108895.3333
177,1992:Q1,1278.666667,5809.3,66.743,7.233333333,107.0333333,4891.9,3313.8,503.7,188.5,372.8,557.1,-26.1,138.7333333,121.4165,108846
178,1992:Q2,1170.666667,5893.6,67.141,7.5,108.4,4890.5,3286.6,511.7,189.5,375.6,562,1,139.8666667,123.3433,108611.3333
179,1992:Q3,1204,5967.1,67.462,7.6,108.7,4924.5,3316.1,515.1,191.4,376.7,562.1,14.7,140.9333333,123.79,108519
180,1992:Q4,1257.666667,6061.9,67.937,7.333333333,109.7333333,4979.8,3353.6,530.8,203.9,376.3,562.6,7.2,142.0666667,124.8539,108595.6667
